<<<<<<< HEAD
timestamp,predicted_train,predicted_test
2016-01-01,4.3652573,
2016-01-02,,
2016-01-03,,
2016-01-04,4.730973,
2016-01-05,4.729475,
2016-01-06,4.7239537,
2016-01-07,4.7229586,
2016-01-08,4.722156,
2016-01-09,,
2016-01-10,,
2016-01-11,4.7254114,
2016-01-12,4.722915,
2016-01-13,4.7317805,
2016-01-14,4.744197,
2016-01-15,4.741534,
2016-01-16,,
2016-01-17,,
2016-01-18,4.7435446,
2016-01-19,4.735188,
2016-01-20,4.7370543,
2016-01-21,4.7329903,
2016-01-22,4.733147,
2016-01-23,,
2016-01-24,,
2016-01-25,4.7613645,
2016-01-26,4.7528305,
2016-01-27,4.756751,
2016-01-28,4.740503,
2016-01-29,4.767221,
2016-01-30,,
2016-01-31,,
2016-02-01,4.7793345,
2016-02-02,4.7803464,
2016-02-03,4.784259,
2016-02-04,4.789938,
2016-02-05,4.77769,
2016-02-06,,
2016-02-07,,
2016-02-08,4.782516,
2016-02-09,4.775978,
2016-02-10,4.7804193,
2016-02-11,4.774532,
2016-02-12,4.776965,
2016-02-13,,
2016-02-14,,
2016-02-15,4.7855763,
2016-02-16,4.787014,
2016-02-17,4.7792296,
2016-02-18,4.7746882,
2016-02-19,4.7757897,
2016-02-20,,
2016-02-21,,
2016-02-22,4.7844973,
2016-02-23,4.780508,
2016-02-24,4.786839,
2016-02-25,4.785964,
2016-02-26,4.7774944,
2016-02-27,,
2016-02-28,,
2016-02-29,4.769694,
2016-03-01,4.6612935,
2016-03-02,4.717496,
2016-03-03,4.696054,
2016-03-04,4.709681,
2016-03-05,,
2016-03-06,,
2016-03-07,4.704872,
2016-03-08,4.6813264,
2016-03-09,4.6593256,
2016-03-10,4.6692495,
2016-03-11,4.669625,
2016-03-12,,
2016-03-13,,
2016-03-14,4.659207,
2016-03-15,4.6634216,
2016-03-16,4.6618357,
2016-03-17,4.6563907,
2016-03-18,4.6861253,
2016-03-19,,
2016-03-20,,
2016-03-21,4.667664,
2016-03-22,4.6667233,
2016-03-23,4.6543193,
2016-03-24,4.6544137,
2016-03-25,4.5645967,
2016-03-26,,
2016-03-27,,
2016-03-28,4.654463,
2016-03-29,4.6560564,
2016-03-30,4.658331,
2016-03-31,4.649018,
2016-04-01,4.654892,
2016-04-02,,
2016-04-03,,
2016-04-04,4.6511993,
2016-04-05,4.6699066,
2016-04-06,4.668212,
2016-04-07,4.666593,
2016-04-08,4.6618924,
2016-04-09,,
2016-04-10,,
2016-04-11,4.6519966,
2016-04-12,4.654727,
2016-04-13,4.6597023,
2016-04-14,4.6591363,
2016-04-15,4.661141,
2016-04-16,,
2016-04-17,,
2016-04-18,4.6536727,
2016-04-19,4.6494927,
2016-04-20,4.651599,
2016-04-21,4.6513085,
2016-04-22,4.6587415,
2016-04-23,,
2016-04-24,,
2016-04-25,4.6564193,
2016-04-26,4.666992,
2016-04-27,4.663048,
2016-04-28,4.6560984,
2016-04-29,4.6581154,
2016-04-30,,
2016-05-01,,
2016-05-02,4.5593414,
2016-05-03,4.657011,
2016-05-04,4.657502,
2016-05-05,4.6611886,
2016-05-06,4.665503,
2016-05-07,,
2016-05-08,,
2016-05-09,4.669487,
2016-05-10,4.658573,
2016-05-11,4.6588736,
2016-05-12,4.665606,
2016-05-13,4.658099,
2016-05-14,,
2016-05-15,,
2016-05-16,4.6578894,
2016-05-17,4.6579127,
2016-05-18,4.6556096,
2016-05-19,4.6574616,
2016-05-20,4.659712,
2016-05-21,,
2016-05-22,,
2016-05-23,4.658279,
2016-05-24,4.655848,
2016-05-25,4.6537337,
2016-05-26,4.6583133,
2016-05-27,4.66165,
2016-05-28,,
2016-05-29,,
2016-05-30,4.5222363,
2016-05-31,4.6553407,
2016-06-01,4.5484247,
2016-06-02,4.550221,
2016-06-03,4.5471706,
2016-06-04,,
2016-06-05,,
2016-06-06,4.544542,
2016-06-07,4.545411,
2016-06-08,4.5464215,
2016-06-09,4.5404887,
2016-06-10,4.5436406,
2016-06-11,,
2016-06-12,,
2016-06-13,4.540783,
2016-06-14,4.5400214,
2016-06-15,4.541288,
2016-06-16,4.542244,
2016-06-17,4.5430713,
2016-06-18,,
2016-06-19,,
2016-06-20,4.5412207,
2016-06-21,4.544103,
2016-06-22,4.5451055,
2016-06-23,4.5505347,
2016-06-24,4.5430446,
2016-06-25,,
2016-06-26,,
2016-06-27,4.5420537,
2016-06-28,4.544378,
2016-06-29,4.5374165,
2016-06-30,4.541455,
2016-07-01,4.543725,4.532834
2016-07-02,,
2016-07-03,,
2016-07-04,,4.5136514
2016-07-05,,4.5397573
2016-07-06,,4.540124
2016-07-07,,4.5392423
2016-07-08,,4.541069
2016-07-09,,
2016-07-10,,
2016-07-11,,4.5376153
2016-07-12,,4.538277
2016-07-13,,4.53818
2016-07-14,,4.5396953
2016-07-15,,4.5390024
2016-07-16,,
2016-07-17,,
2016-07-18,,4.540589
2016-07-19,,4.5429873
2016-07-20,,4.5415087
2016-07-21,,4.5384545
2016-07-22,,4.542996
2016-07-23,,
2016-07-24,,
2016-07-25,,4.5406594
2016-07-26,,4.5406756
2016-07-27,,4.53969
2016-07-28,,4.5411377
2016-07-29,,4.5403304
2016-07-30,,
2016-07-31,,
2016-08-01,,4.5581737
2016-08-02,,4.5638094
2016-08-03,,4.574308
2016-08-04,,4.5720134
2016-08-05,,4.567506
2016-08-06,,
2016-08-07,,
2016-08-08,,4.561041
2016-08-09,,4.562406
2016-08-10,,4.560397
2016-08-11,,4.5602713
2016-08-12,,4.559565
2016-08-13,,
2016-08-14,,
2016-08-15,,4.562611
2016-08-16,,4.56163
2016-08-17,,4.5596204
2016-08-18,,4.56181
2016-08-19,,4.5593476
2016-08-20,,
2016-08-21,,
2016-08-22,,4.5595183
2016-08-23,,4.558286
2016-08-24,,4.5593095
2016-08-25,,4.563243
2016-08-26,,4.562959
2016-08-27,,
2016-08-28,,
2016-08-29,,4.560479
2016-08-30,,4.5616055
2016-08-31,,4.5734525
=======
timestamp,predicted_train,predicted_test,naive_prediction_test
2016-01-01,4.467754,,
2016-01-02,,,
2016-01-03,,,
2016-01-04,4.7379403,,
2016-01-05,4.7351465,,
2016-01-06,4.7370076,,
2016-01-07,4.7334857,,
2016-01-08,4.7359476,,
2016-01-09,,,
2016-01-10,,,
2016-01-11,4.739904,,
2016-01-12,4.7329016,,
2016-01-13,4.7368693,,
2016-01-14,4.742467,,
2016-01-15,4.744666,,
2016-01-16,,,
2016-01-17,,,
2016-01-18,4.6368976,,
2016-01-19,4.728453,,
2016-01-20,4.7358465,,
2016-01-21,4.738429,,
2016-01-22,4.7380757,,
2016-01-23,,,
2016-01-24,,,
2016-01-25,4.740827,,
2016-01-26,4.745786,,
2016-01-27,4.7467237,,
2016-01-28,4.743815,,
2016-01-29,4.745406,,
2016-01-30,,,
2016-01-31,,,
2016-02-01,4.7857976,,
2016-02-02,4.781139,,
2016-02-03,4.7842937,,
2016-02-04,4.787184,,
2016-02-05,4.7775126,,
2016-02-06,,,
2016-02-07,,,
2016-02-08,4.781919,,
2016-02-09,4.7778473,,
2016-02-10,4.780434,,
2016-02-11,4.773098,,
2016-02-12,4.7766457,,
2016-02-13,,,
2016-02-14,,,
2016-02-15,4.7818494,,
2016-02-16,4.7857976,,
2016-02-17,4.78026,,
2016-02-18,4.7746606,,
2016-02-19,4.7759748,,
2016-02-20,,,
2016-02-21,,,
2016-02-22,4.7856145,,
2016-02-23,4.7806215,,
2016-02-24,4.785393,,
2016-02-25,4.7856145,,
2016-02-26,4.7786555,,
2016-02-27,,,
2016-02-28,,,
2016-02-29,4.7857976,,
2016-03-01,4.667708,,
2016-03-02,4.666783,,
2016-03-03,4.6633906,,
2016-03-04,4.663991,,
2016-03-05,,,
2016-03-06,,,
